CLIENTE;NOMBRE COMERCIAL;DESCRIPCION;PRESENTACION;UNIDAD;CANTIDAD;PRECIO;TOTAL;
FLORES Y RIOS S.A. DE C.V.;RATON;MOUSE;PAQUETE;PIEZA;4;120.00;480.00;
FLORES Y RIOS S.A. DE C.V.;MONITOR;DISPLAY;PAQUETE;PIEZA;5;350.00;1750.00;
